,QueryText,KCCAns
300,Asking about weather forecast Tahsil ?,Tahsil Weather Report- Coming three days weather is cloudy and Possibility of light rainfall
306,ASKED ABOUT MARKET RATE OF pomegrante?,MARKET RATE OF pomegrante - 2000	10000	4400RS/QUINTAL
310,FARMER ASKED ABOUT MARKET RATE OF okra ?,MARKET RATE OF okra  -400	2000 RS/QTL
312,Asking about weather forecast ?,"THIS WEEK Cloudy Weather , LIGHT TO MEDIUM    Rainfall Chances."
316,Asked about Market rate of onian?,Market rate of onian-500-1150/qtl.
318,Asking about weather forecast ?,"Weather Report - This week weather will remain partly cloudy, there will be possibility of rain in some places."
320,Attack of White Fly on chilli ?,Spray Ullala 8 gm/15 Lit of Water.UPL
322,Asking about weather forecast?,This week weather is cloudy and possibility of light rainfall.
326,ASKED ABOUT USE BLEACHING POWDER IN POMEGRANATE ?,USE BLEACHING POWDER IN POMEGRANATE - 25 KG / 1000 LITER WATER / HECTOR
330,Asked about Market rate of ber?,Market rate of ber-2000-2500/qtl.
334,FARMER ASKED ABOUT MARKET RATE OF Onion ?,MARKET RATE OF Onion 100-1380 RS/QTL
336,ASKED ABOUT FERTILIZER SPRAY FOR ONION ?,FERTILIZER SPRAY FOR ONION SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
338,Asking about weather forecast?,This week weather is partly clear and no Possibility of Rainfall.
340,Asking about weather forecast?,THIS WEEK Weather is CLOUDY and LIGHT Possibility of Rainfall .
350,Asking about weather forecast ?,total week rainfall chances weather cloudy light rainfall chances
352,"Farmer Asking about weather forecast in  Akkalkot, Solapur ?","Weather forecast in  Akkalkot, Solapur This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today,s temperature -24 -34 degree celsius, wind speed -16 Kilometer/hr"
356,Asking about weather forecast?,This week weather is CLOUDY and Possibility light Rainfall.
362,"Farmer Asking about weather forecast in Mohol, Solapur?","Weather forecast in  Mohol, Solapur This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today,s temperature - 21  - 34  degree celsius, wind speed -15  Kilometer/hr"
368,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
370,ATTACK OF LEAF MINER ?,Spray Neem ark 30 ml/15 liter water.
372,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Neem ark 15 ml/15 liter water.
374,Asked About SMS Activation?,TO START SMS SERVICE PLEASE TYPE SMS  Kisaan1 AND SEND IT TO 7738299899
378,Asking about weather forecast?,"This week weather is CLOUDY and Possibility of light Rainfall
chances."
384,Attack of White Grub ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
386,Attack of Thrips ?,Lancer Gold 51.8 SP 30 GM + m 45 30 gm /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
388,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY.LIGHT TO MEDIUM RAINFALL CHANCES.
392,Asking about weather forecast?,This week partially weather is cloudy and possibility of light rainfall.
394,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 35  degrees maximum"
396,ASKED ABOUT VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED
398,Asking about weather forecast Tahsil ?,Tahsil Weather Report- This week weather is cloudy and Possibility of light rainfall
404,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND POSSIBILITY OF LIGHT RAINFALL.
406,ASKING ABOUT ATTACK OF LEAF EATING CATERPILLAR ON LEMON  ?,ATTACK OF LEAF EATING CATERPILLAR ON LEMON - Spray Quinolphos 30 ml / 15 liter water
410,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLOUDY  TEMP -MIN.-23 DEGREE AND MAX.- 34 LIGHT  RAINFALL CHANCES.
412,farmer ask about caterpillar attack on maize?,caterpillar attack on maize-Spray Chloropyriphos 30 ml/15 Lit of Water.
414,Asking about weather forecast ?,coming three days possibilities of  Partly cloudy weather and light Rainfall
416,ASKED ABOUT FERTILIZER DOSE FOR POMEGRANATE ?,FERTILIZER DOSE FOR POMEGRANATE : 00 52 34 3 KILO PER ACRE VIA DRIP.
420,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER OR DISTRICT AGRICULTURE OFFICER .
422,Asking about weather forecast ?,WEATHER REPORT- Partly cloudy skies. Rain in some areas towards .
426,ASKING ABOUT BLIGHT ATTACK ON ONION ?,BLIGHT ATTACK ON ONION - SPRAY RIDOMIL GOLD 30 GM ( METALAXYL 4 % + MANCOZEB 64 % )+ MICROLLA 30 ML / 15 LITERS OF WATER. SYNGENTA
432,ATTACK OF POD BORER tur ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
434,Attack of Fruit Borer ?,Spray Takumi 8  GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
440,Asking about weather forecast?,This week weather is CLOUDY and Possibility  MEDIUM to HIGH Rainfall
442,FERTILIZER dose for banana ?,irrigate  00 52 34 3 kilo / ekar through drip.
448,"Attack of Powdery or Downy or Blight (????, ????)",Spray Amistar 5 ml/15 Liter of Water (Azactrostrobin)-Syngenta
450,Asking about weather forecast?,This week weather is CLOUDY and   NO Possibility of Rainfall
454,Asking about weather forecast ?,"Weather forecast: The sky is partly cloudy, there is a possibility of rain in some places."
456,asked about Attack of Caterpillar on sugarcane?,Spray Chloropyriphos 30ml/15 Liter of Water
460,BLIGHT ATTACK ?,Spray of Bavistine 30gm/15lit of Water.
462,Attack Red Mites on bhindi?,Spray omite 5ml/15 liter water .(Propargite 57% EC) DHANUKA
464,asked about attact of blight on onion?,BAVISTIN 30gm /15 Lit of Water- drenching
470,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML + HUMIC ACID 30 ML +bavistin 30 gm/15 LITERS OF WATER
472,asked about cucumber planting?,"cucumber planting -Wahman: Hot and dry weather is good. Kalingada is cultivated throughout the year, if it has recently left a strict summer and full rainy season. If there is humidity and fog in the air during growth, then the growth of the vineyard does not get neat. Crop disease is likely to be victim of disease"
476,ATTACK OF SUCKING PEST ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
480,MARKET RATE OF SUNFLOWER ?,MARKET RATE OF SUNFLOWER = 3200-3450 RS/QTL
484,FARMER ASKED ABOUT MARKET RATE OF Soyabean ?,MARKET RATE OF soyabean 2800  RS/QTL
486,farmer asked about fertrilizer application for cotton?,feertilizer for cotton :- 00 : 52 : 34 2 kg / acre
488,ASKED ABOUT MARKET RATE OF ONION AT SOLAPUR MARKET ?,MARKET RATE OF ONION AT SOLAPUR - 100-1400 RS/QUINTAL
490,PREPARATION OF JIVAMRUT?,For preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
492,ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND LIGHT RAINFALL CHANCES DURING THIS WEEK.
494,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 35 degrees maximum"
500,Asking about weather forecast?,This week weather is clear and  no possibility of rainfall.
502,Asked About SMS Activation?,"Your Registration process successfully completed.
for kisan msg-Type''Kisaan1'' msg  and send on (7738299899) this number."
504,ASKED ABOUT WEED MANAGEMENT IN ONION ?,SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING
506,Asking about weather forecast ?,THIS WEEK WEATHER IS partially cloudy and No Possibility of Rainfall TEMP -MIN.-22 DEGREE AND MAX.- 36
508,asking about Attack of White Grub on onion ?,Attack of White Grub on onion - Use Thimate 4 kg / acre.
514,WEED MANAGEMENT IN SUGARCANE ?,"SPRAY 2,4 D AMINE SALT 58% SL 40 ML + SENCOR (Metribuzin 70 WP) 30 GM /15 LITERS OF WATER"
518,ASKED ABOUT  FERTILIZER SPRAY FOR  MARIGOLD ?,SPRAY 12 61 00 40 60 GM + CALCIBOR - 50 GRAM /15 LITERS OF WATER
526,Asking about weather forecast ?,Cloudy Weather  Rainfall Chances .
528,Asking about weather forecast ?,"Weather Forecast - There will be a cloudy atmosphere in the coming weeks, there is a possibility of gently to moderate rainfall"
530,Asked about increase of flowering in pomegranate ?,
532,asked about fertilizer dose for onion ?,you can apply 15:15:15 2 bag +gandhak 5 kg +micro nutrients 10 kg /acre
534,ASKING ABOUT  DRENCHING IN POMEGRANATE ?,SPRAY OF BLUE COPPER 40 GM + STRYPTOMYCIN 2 GM/15 LITER WATER
536,Asking about weather forecast  ?,Weather Report- This week weather is CLOUDY and  Possibility of light Rainfall
542,FERTILIZER DOSE FOR SUGARCANE ?,you can drenching 00 52 34 5-6 kg /acre
554,ASKING ABOUT CONTACT NUMBER OF AGRICULTURE COMMISSIONER OF MAHARASHTRA?,-020 26127840
560,Asked about attack of blight on chrysanthemum ?,Spray Bavistine 30gm/15lit of Water.
566,asking about spraying on sugarcane?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
570,Asking about weather forecast?,This week weather is partially CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall
580,Attack of White Grub in onion ?,Humnasur 4 kg/acre(Patil Biotech)
582,Asking about weather forecast ?,"THIS WEEK Cloudy Weather , LIGHT TO MEDIUM    Rainfall Chances.
."
594,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray Bavistine 15 gm/15 lit of Water.
596,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 27 degrees maximum"
598,Asking about weather forecast?,This week weather is mostly clear and NO Possibility of Rainfall
602,ASKING ABOUT ATTACK OF blight ON ONION ?,ATTACK OF blight ON ONION - Spray Ridomil Gold 40 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
604,Attack of Thrips?,spray  tata takumi 8 gm / 15 liter water
608,FERTILIZER DOSE FOR ONION ?,FERTILIZER DOSE FOR ONION = SPRAY 19:19:19 60 GM + MICROLLA 30 ML + BAVISTIN 30 GM / 15 LITER WATER
618,FERTILIZER SPRAY ON POMEGRANATE ?,POMEGRANATE  SPRAY 00 52 34 60 GM + MICROLLA 30 ML/15 Lit of Water.
622,ASKING ABOUT DASHPARNI ARKH ?,DASHPARNI  DETAILS...
624,asked about weed management in sweet potato ?,hand weeding is suggested for sweet potato.
626,ASKED ABOUT MARKET RATE OF BRINJAL ?,MARKET RATE OF BRINJAL -300 TO	2500 RS/QUINTAL
630,Asking about weather forecast?,"This week weather is clear , no possiblity of rainfall."
634,ASKED ABOUT MARKET RATE OF BER ?,MARKET RATE OF BER  = SOLAPUR 1000 - 2000 RS/QUINTAL...
636,ASKED ABOUT MARKET RATE OF BANANA ?,MARKET RATE OF BANANA = PANDHARPUR 700 - 900 RS/QUINTAL...
646,Asked About SMS Activation?,"Your Registration process successfully completed,TO START SMS SERVICE PLEASE TYPE SMS Kisaan1 AND SEND IT TO 7738299899"
656,Asking about weather forecast ?,THIS WEEK WEATHER IS CLEAR  NO RAINFALL CHANCES
658,Asking about weather forecast ?,This                 week weather is CLOUDY and Possibility  LIGHT Rainfall.
660,Asking about weather forecast Tahsil ?,Tahsil Weather Report- This week weather is CLOUDY and Possibility  MEDIUM to HIGH Rainfall
664,ASKING ABOUT SPRAY FOR FLOWERING ?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE.
666,ATTACK OF SUCKING PEST,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
668,Asking about weather forecast?,"Cloudy  Weather, No Possibility of Rain."
670,Asking about weather forecast?,"This week weather is cloudy,possiblity of light rainfall."
676,Attack of White Grub in sugarcane ?,( Decis 100 ) 150 GM + Lecenta 250 ML/100 LITER OF WATER.
682,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION - KOLHAPUR	----	QUINTAL	4382	400	1200	900
690,ATTACK OF SHOOT BORER ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
696,FERTILIZER SPRAY ON BANANA ?,APPLY THROUGH DRIP 00 52 34 2 KG+ HUMIC ACID HALF Lit
698,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION 800  - RS/QTL
700,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND  LIGHT RAINFALL POSSIBILITY.
704,Asking about weather forecast?,This week weather is CLOUDY and Possibility Light Rainfall.
706,ASKING ABOUT MANGO ?,SPRAY DIMETHOATE 2 ML / 1 LITRE WATER.
708,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
710,attack of mealy bugs on mango?,dimethoiate 30 milimix with 15 liter of water andspraying.
712,Asking about weather forecast?,This week weather is CLOUDY NO Possibility of rainfall
714,Asking about weather forecast?,"This week partially weather is CLOUDY and Possibility of LIGHT Rainfall , TEMP -MIN.-21 DEGREE AND MAX.- 34"
720,Asking about weather forecast ?,THIS WEEK WEATHER IS partially cloudy and No Possibility of Rainfall TEMP -MIN.-22 DEGREE AND MAX.- 34
732,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION?,00:52:34- 60 GRAM + MICROLA- 30 MILI / 15 LITER WATER
734,ASKING FOR FLOWERING  TUR  ?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
736,ASKING ABOUT CONTROL OF WILT ATTACK  ?,Redomil Gold 45 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt
738,ASKING ABOUT GOVERNMENT SCHEME?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER
744,growth of onion?,SPRAY 00 52 34  60 GM + MICROLLA  30 ML /15 LITERS OF WATER
746,Asking about weather forecast?,weather is mostly cloudy  and NO Possibility of Rainfall
750,ASKING ABOUT  DRENCHING ON GINGER ?,Redomil Gold 45 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt
754,asked aboutb fertilizer dose for onion ?,sinle supar phosphate 4 bag + humic acid 5 kg per dose for onion
756,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK
762,FARMER ASKED ABOUT NUTRIENT MANAGEMENT FOR ONION ?,NUTRIENT MANAGEMENT FOR ONION SPRAY MICROLLA-30 MILI/15 LITRE OF WATER .
764,ASKED ABOUT WEED MANAGEMENT ON FALLOW LAND ?,WEED MANAGEMENT ON FALLOW LAND :SPRAY ROUNDUP 100 MELEE IN 15 LITER WATER
766,Asking about weather forecast ?,this week chances of Cloudy Weather and light possibilities of   Rainfall
768,FOR FLOWERING,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
778,Asking about weather forecast?,This week weather is CLOUDY and LIGHT  TO MEDIUM Possibility of Rainfall
782,ATTACK OF WHITE GRUB ON ONION?,Use Thimate 4 kg / acre.
784,Asking about weather forecast ?,This week weather is CLEAR SKY and  NO possibility of rainfall
786,"FUNGAL ATTACK ?  
WILT ATTACK  ?  ?? ??? 
RUST ATTACK ? ???????",SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
788,Asking about weather forecast?,Weather is CLOUDY and Possibility of LIGHT Rainfall
790,Asking about weather forecast?,This week weather is CLOUDY and   NO Possibility of Rainfall .
792,Asking about weather forecast ?,This week weather is CLOUDY and LIGHT  TO MEDIUM Possibility of Rainfall
802,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION?,00:52:34-60 GRAM + MICROLA-30 MILI / 15 LITER WATER
822,Asking about weather forecast?,coming three days weather is CLOUDY and   Possibility of light Rainfall
824,Asking about weather forecast?,This week weather is mostly cloudy and no Possibility of Rainfall
828,Asking about weather forecast?,This week weather is CLEAR SKY and  NO possibility of rainfall
830,asking about spraying on onion ?,Decis -100 4 ml+ antracol 30gm/15 liter of water(deltamethrin)
832,ASKING ABOUT CONTROL OF BLIGHT ATTACK ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
834,FERTILIZER DOSE FOR SUGARCANE ?,FERTILIZER DOSE FOR SUGARCANE-APPLICATION OF 10 26 26 2 BAG + UREA 2 BAG + MICRO NUTRIENTS 10 KG + HUMIC ACID 5 KG + NIMBOLI PEND 40 KG/ ACRE
836,FERTILIZER DOSE FOR SUGARCANE?,APPLICATION OF 10 26 26 2 BAG + UREA 2 BAG + MICRO NUTRIENTS 10 KG + HUMIC ACID 5 KG + NIMBOLI PEND 40 KG/ ACRE
840,Asking about weather forecast?,This week weather is CLOUDY and NO Possibility of Rainfall
